sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S91,2,A01,Control,FALSE,0,2,Sample,FALSE,3.6662864591820106e-4,0,0,NA,3.6662864591820106e-4,FALSE,FALSE,FALSE
S92,2,B01,Cry,FALSE,1,2,Sample,FALSE,6.11454582512399e-4,0,0,0,6.11454582512399e-4,FALSE,FALSE,FALSE
S93,2,C01,Cin,FALSE,100,2,Sample,FALSE,0.8525915809971802,0,0,0.8525915809971802,0,TRUE,TRUE,TRUE
S94,2,D01,Control,FALSE,0,2,Sample,FALSE,0.001288284918754935,0,0,NA,0.001288284918754935,FALSE,FALSE,FALSE
S95,2,E01,Control,TRUE,0,2,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S96,2,F01,Cin,TRUE,1,2,Sample,FALSE,0.07127967680643435,0,0,0.07127967680643435,0,TRUE,TRUE,TRUE
S97,2,G01,Cin,TRUE,100,2,Sample,FALSE,0.8482560849563262,0,0,0.8482560849563262,0,TRUE,TRUE,TRUE
S98,2,H01,Plu,TRUE,100,2,Sample,FALSE,0,0,0.330256227367497,0.330256227367497,0,TRUE,TRUE,TRUE
S99,2,A02,Cin,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
SDNA_C1,1,G02,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
SDNA_C2,1,H07,NA,NA,NA,NA,Negative control,FALSE,0.5416666666666666,0,0,NA,0.5416666666666666,FALSE,FALSE,FALSE
SDNA_C3,2,E02,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
SDNA_C4,2,A07,NA,NA,NA,NA,Negative control,FALSE,0.24347826086956523,0,0,NA,0.24347826086956523,FALSE,FALSE,FALSE
SMC1,1,G12,NA,NA,NA,NA,Mock community,FALSE,0.08702733561689838,0,0.010813352139163141,NA,0.09784068775606151,NA,NA,FALSE
SMC2,1,H12,NA,NA,NA,NA,Mock community,FALSE,0.09152897530143245,0,0.00984164061694892,NA,0.10137061591838137,NA,NA,FALSE
SMC3,2,C11,NA,NA,NA,NA,Mock community,FALSE,0.07893353426673909,0,0.008971910210804844,NA,0.08790544447754393,NA,NA,FALSE
SMC4,2,D11,NA,NA,NA,NA,Mock community,FALSE,0.07418241756251302,0,0.008929784362915132,NA,0.08311220192542815,NA,NA,FALSE
SPCR_C1,1,D05,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
SPCR_C2,1,C10,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
SPCR_C3,2,G09,NA,NA,NA,NA,Negative control,FALSE,0.3284671532846715,0,0,NA,0.3284671532846715,FALSE,FALSE,FALSE
