"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"116","S152",2,"A09","Cry","TRUE","1",2,"Sample",FALSE,9.08610790888905e-05,0.169382087874021,0,0.169382087874021,9.08610790888905e-05,TRUE,FALSE,TRUE,146250,83,1.11858199437456,1.63840381379685
"117","S153",2,"B09","Plu","TRUE","1",2,"Sample",FALSE,0.00234083067275617,0,0,0,0.00234083067275617,FALSE,FALSE,FALSE,139367,106,2.49551946991957,7.85060289945128
"118","S158",2,"F09","Cry","TRUE","1",2,"Sample",FALSE,0.000587037707805103,0,0,0,0.000587037707805103,FALSE,FALSE,FALSE,80016,112,1.97690170882263,3.08776019033734
"119","S163",2,"D10","Plu","TRUE","100",2,"Sample",FALSE,0.000458833988127671,0.0387714719967882,0.00199306013592957,0.00199306013592957,0.0392303059849158,TRUE,FALSE,FALSE,66867,101,2.41843718429173,6.94272046893436
"120","S164",2,"E10","Plu","TRUE","1",2,"Sample",FALSE,0.000962871106572325,0,0,0,0.000962871106572325,FALSE,FALSE,FALSE,68479,89,1.72298423339433,2.78931252187677
"121","S167",2,"H10","Plu","TRUE","100",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,46348,64,1.75927511069524,3.17163411792711
"122","S168",2,"A11","Cin","TRUE","1",2,"Sample",FALSE,0.000580383052814858,0,0,0.000580383052814858,0,TRUE,TRUE,TRUE,84378,121,2.68679793925167,7.9533501974507
"123","S17",1,"B03","Cry","TRUE","100",1,"Sample",FALSE,0,0.106999856999857,0,0.106999856999857,0,TRUE,TRUE,TRUE,49958,108,2.21845383400904,4.03976068047779
"124","S18",1,"C03","Control","TRUE","0",1,"Sample",FALSE,0,0.121867334294313,0,NA,0.121867334294313,FALSE,FALSE,FALSE,69448,101,2.35062987446725,4.52833914499692
"125","S22",1,"G03","Cry","TRUE","100",1,"Sample",FALSE,0,0.175612284894233,0,0.175612284894233,0,TRUE,TRUE,TRUE,65200,81,2.14781717725416,5.18211940344036
"126","S23",1,"H03","Plu","TRUE","100",1,"Sample",FALSE,0,0,0.00153288219239541,0.00153288219239541,0,TRUE,TRUE,TRUE,53412,55,1.74198943855177,2.96296989703182
"127","S3",1,"C01","Plu","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,65338,60,1.48042283886568,2.18511163569924
"128","S35",1,"E05","Control","TRUE","0",1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,71966,83,1.18739552682355,1.63256181078611
"129","S36",1,"F05","Plu","TRUE","100",1,"Sample",FALSE,0,0.0183587701835877,0,0,0.0183587701835877,FALSE,FALSE,FALSE,57694,123,2.50420963584068,5.68902626931105
"130","S37",1,"G05","Cry","TRUE","100",1,"Sample",FALSE,0,0.0128673824807853,0,0.0128673824807853,0,TRUE,TRUE,TRUE,68584,83,1.75743107293512,3.1811941586081
"131","S38",1,"H05","Cry","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,59182,114,2.24257136046954,3.22973247726299
"132","S39",1,"A06","Cin","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,75223,67,1.23311338770593,1.92510125065022
"133","S4",1,"D01","Plu","TRUE","1",1,"Sample",FALSE,0.000466853408029879,0.0121381886087768,0,0,0.0126050420168067,FALSE,FALSE,FALSE,54990,101,2.04716992023873,3.1149014023991
"134","S42",1,"D06","Plu","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,87801,80,1.34492583356244,1.93864558424042
"135","S45",1,"G06","Cin","TRUE","100",1,"Sample",FALSE,0.801664789084992,0,0,0.801664789084992,0,TRUE,TRUE,TRUE,12676,62,1.53722469555315,2.12781399639153
"136","S46",1,"H06","Cin","TRUE","1",1,"Sample",FALSE,0.000206842848104346,0.025660680391298,0,0.000206842848104346,0.025660680391298,TRUE,FALSE,FALSE,80062,117,2.69935254833192,7.65366756730418
"137","S47",1,"A07","Plu","TRUE","100",1,"Sample",FALSE,0,0,0.00538457406810613,0.00538457406810613,0,TRUE,TRUE,TRUE,74071,74,1.12894566516767,1.64232151515678
"138","S48",1,"B07","Cin","TRUE","100",1,"Sample",FALSE,0.777516006541201,0.0378752182710164,0,0.777516006541201,0.0378752182710164,TRUE,FALSE,FALSE,13321,64,2.69443281713011,8.72197315544508
"139","S49",1,"C07","Cin","TRUE","1",1,"Sample",FALSE,0,0.540315443306844,0,0,0.540315443306844,FALSE,FALSE,FALSE,49343,108,2.8927167001382,8.79541265243878
"140","S50",1,"D07","Control","TRUE","0",1,"Sample",FALSE,0.000180396873120866,0,0,NA,0.000180396873120866,FALSE,FALSE,FALSE,83135,85,1.72542375947351,3.15868265770595
"141","S52",1,"F07","Plu","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,100956,73,2.29454696656083,6.30343826497327
"142","S56",1,"C08","Cry","TRUE","100",1,"Sample",FALSE,0,0.00845998250601356,0,0.00845998250601356,0,TRUE,TRUE,TRUE,72549,72,1.08803564729765,1.71497439302252
"143","S6",1,"F01","Cry","TRUE","1",1,"Sample",FALSE,0.000232043686091301,0,0,0,0.000232043686091301,FALSE,FALSE,FALSE,64628,107,1.95218489460687,3.4156349814381
"144","S62",1,"A09","Cry","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,93995,80,1.38090312588584,1.92668254827459
"145","S63",1,"B09","Cin","TRUE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,94933,82,1.17179989363971,1.71490372237016
"146","S65",1,"D09","Plu","TRUE","100",1,"Sample",FALSE,0.000275364092522335,0.00533900379390528,0.00152980051401297,0.00152980051401297,0.00561436788642761,TRUE,FALSE,FALSE,64901,59,1.47608545694725,2.99810373096422
"147","S66",1,"E09","Cin","TRUE","1",1,"Sample",FALSE,0.0311538551868292,0.00172620305784542,0,0.0311538551868292,0.00172620305784542,TRUE,FALSE,FALSE,82358,100,1.85117541361492,3.21139832085718
