sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S133,2,E06,Cin,FALSE,1,2,Sample,FALSE,0.5096724671528078,0.00387062,0,0.5096724671528078,0.00387062,TRUE,FALSE,FALSE
S134,2,F06,Cin,FALSE,100,2,Sample,FALSE,0.8039763081450183,0.059786094239257556,0,0.8039763081450183,0.059786094239257556,TRUE,FALSE,FALSE
S135,2,G06,Cry,FALSE,100,2,Sample,FALSE,5.948289536297785e-4,0,0,0,5.948289536297785e-4,FALSE,FALSE,FALSE
S136,2,H06,Plu,TRUE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S137,2,B07,Cry,TRUE,100,2,Sample,FALSE,3.3187130568935054e-4,0.021401214,0,0.021401214,3.3187130568935054e-4,TRUE,FALSE,FALSE
S138,2,C07,Plu,TRUE,100,2,Sample,FALSE,2.950205318343101e-4,0,0.009639995,0.009639995,2.950205318343101e-4,TRUE,FALSE,FALSE
S139,2,D07,Cin,TRUE,100,2,Sample,FALSE,0.6820721350978449,0,0,0.6820721350978449,0,TRUE,TRUE,TRUE
S140,2,E07,Plu,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S141,2,F07,Cry,TRUE,100,2,Sample,FALSE,0,0.019105742208799965,0,0.019105742208799965,0,TRUE,TRUE,TRUE
S142,2,G07,Control,FALSE,0,2,Sample,FALSE,3.5613550243596685e-4,0,0,NA,3.5613550243596685e-4,FALSE,FALSE,FALSE
S143,2,H07,Cry,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S144,2,A08,Control,FALSE,0,2,Sample,FALSE,1.5235338367343052e-4,0,0,NA,1.5235338367343052e-4,FALSE,FALSE,FALSE
S145,2,B08,Plu,FALSE,1,2,Sample,FALSE,9.821976672805403e-4,0,0,0,9.821976672805403e-4,FALSE,FALSE,FALSE
