Species,Number of sequences
Alatosessilispora_bibrachiata,1
Alatosessilispora_sp,5
Alatospora_acuminata,2
Alatospora_sp,40
Albatrellaceae_sp,11
Albatrellopsis_flettioides,1
Albatrellus_avellaneus,1
Albatrellus_caeruleoporus,1
Albatrellus_citrinus,1
Albatrellus_confluens,1
Albatrellus_ovinus,1
Albatrellus_skamanius,1
Albatrellus_sp,13
Albatrellus_subrubescens,3
Albertiniella_polyporicola,1
Albifimbria_verrucaria,1
Alboefibula_bambusicola,1
Alboefibula_gracilis,1
Alboleptonia_sericella,2
Alboleptonia_stylophora,2
Albomagister_alesandrii,1
Albomagister_sp,1
Albomagister_subaustralis,1
Albonectria_sp,1
Albophoma_yamanashiensis,1
Albotricha_acutipila,3
Albotricha_albotestacea,1
Albotricha_sp,4
Alectoria_fallacina,1
Alectoria_ochroleuca,1
Alessioporus_ichnusanus,1
Alessioporus_rubriflavus,1
Aleuria_aurantia,3
Aleuria_sp,6
Aleurina_argentina,1
Aleurina_tenuiverrucosa,1
Aleurocystidiellum_subcruentatum,1
Aleurodiscus_alpinus,1
Aleurodiscus_amorphus,2
Aleurodiscus_aurantius,1
Aleurodiscus_bambusinus,1
Aleurodiscus_botryosus,1
Aleurodiscus_canadensis,1
Aleurodiscus_coralloides,1
Aleurodiscus_effusus,1
Aleurodiscus_gigasporus,1
Aleurodiscus_grantii,2
Aleurodiscus_isabellinus,1
Aleurodiscus_limonisporus,1
Aleurodiscus_mirabilis,2
Aleurodiscus_oakesii,1
Aleurodiscus_parmuliformis,1
Aleurodiscus_patagonicus,1
Aleurodiscus_pinicola,1
Aleurodiscus_ryvardenii,1
Aleurodiscus_sp,4
Aleurodiscus_subroseus,1
Aleurodiscus_tenuissimus,1
Aleurodiscus_thailandicus,1
Aleurodiscus_trivialis,1
Aleurodiscus_tropicus,1
Aleurodiscus_verrucosporus,1
Aleurodiscus_wakefieldiae,1
Alfaria_acaciae,1
Alfaria_caricicola,1
Alfaria_cyperi-esculenti,1
Alfaria_dandenongensis,1
Alfaria_junci,1
Alfaria_ossiformis,1
Alfaria_putrefolia,1
Alfaria_sp,6
Alfaria_tabebuiae,1
Alfaria_terrestris,2
Alfariacladiella_spartii,1
Alfoldia_vorosii,1
Aliquandostipitaceae_sp,22
Aliquandostipite_khaoyaiensis,1
Alishanica_miscanthi,1
Allantoparmelia_alpicola,1
Allantophomopsiella_pseudotsugae,1
Allantophomopsiella_sp,1
Allelochaeta_elegans,1
Allelochaeta_euabalongensis,1
