Genus,Number of sequences
Cerioporus,3
Ceriporia,42
Ceriporiopsis,19
Cerothallia,3
Cerrena,3
Cetraria,10
Cetrariella,5
Cetraspora,9
Cetrelia,13
Cetreliopsis,2
Chadefaudiellaceae_gen_Incertae_sedis,12
Chaenotheca,21
Chaenothecopsis,13
Chaetasbolisia,2
Chaetocalathus,8
Chaetocapnodium,4
Chaetocladium,3
Chaetodermella,1
Chaetomella,9
Chaetomellaceae_gen_Incertae_sedis,4
Chaetomiaceae_gen_Incertae_sedis,239
Chaetomidium,5
Chaetomium,137
Chaetophoma,1
Chaetopreussia,3
Chaetopsina,14
Chaetoscypha,1
Chaetospermum,11
Chaetosphaeria,102
Chaetosphaeriaceae_gen_Incertae_sedis,54
Chaetosphaeriales_gen_Incertae_sedis,30
Chaetosphaeronema,15
Chaetothiersia,3
Chaetothyriaceae_gen_Incertae_sedis,26
Chaetothyriales_gen_Incertae_sedis,942
Chaetothyrina,2
Chaetothyrium,2
Chaetotyphula,1
Chalara,113
Chalastospora,1
Chalciporus,11
Chamaemyces,2
Chamaeota,1
Chamonixia,3
Chapeckia,1
Chapsa,3
Charcotiana,1
Chaunopycnis,3
Cheilymenia,10
Cheimonophyllum,1
Cheiromyces,1
Chiangraiomyces,1
Chionosphaera,2
Chionosphaeraceae_gen_Incertae_sedis,7
Chlamydoabsidia,1
Chlamydocillium,1
Chlamydopus,1
Chlamydosauromyces,1
Chlamydotubeufia,3
Chlorangium,1
Chlorencoelia,6
Chloridium,42
Chlorociboria,25
Chlorociboriaceae_gen_Incertae_sedis,1
Chlorocillium,1
Chlorophyllum,24
Chloroscypha,3
Chlorosplenium,8
Chlorovibrissea,4
Choanephora,6
Choiromyces,11
Chondrogaster,33
Chondrostereum,4
Chordomyces,1
Chorioactidaceae_gen_Incertae_sedis,3
Chorioactis,2
Chromelosporiopsis,2
Chromelosporium,2
Chromocleista,2
Chromocyphella,3
Chromolaenicola,1
Chromolaenomyces,1
Chromosera,8
Chroogomphus,21
Chrysanthotrichum,2
Chrysocorona,1
Chrysocrypta,1
Chrysodisca,1
