Genus,Number of sequences
Candidatus_Chloroploca,12
Candidatus_Chlorothrix,113
Candidatus_Chrysopegis,1
Candidatus_Clavichlamydia,2
Candidatus_Cloacimonas,91
Candidatus_Competibacter,95
Candidatus_Contendobacter,23
Candidatus_Contubernalis,8
Candidatus_Cryptoplasma,2
Candidatus_Cryptoprodotis,5
Candidatus_Curculioniphilus,31
Candidatus_Cyrtobacter,2
Candidatus_Deferrimonas,4
Candidatus_Defluviella,1
Candidatus_Desulfamplus,2
Candidatus_Desulfofervidus,9
Candidatus_Desulforudis,24
Candidatus_Dichloromethanomonas,6
Candidatus_Ecksteinia,6
Candidatus_Electronema,11
Candidatus_Electrothrix,13
Candidatus_Endobugula,6
Candidatus_Endoecteinascidia,23
Candidatus_Endolissoclinum,2
Candidatus_Endonucleariobacter,3
Candidatus_Entotheonella,31
Candidatus_Evansia,9
Candidatus_Finniella,11
Candidatus_Flaviluna,3
Candidatus_Fokinia,3
Candidatus_Fritschea,5
Candidatus_Gigarickettsia,3
Candidatus_Gloeomargarita,12
Candidatus_Glomeribacter,9
Candidatus_Gortzia,4
Candidatus_Halobonum,19
Candidatus_Haloectosymbiotes,1
Candidatus_Haloredivivus,18
Candidatus_Hamiltonella,30
Candidatus_Hartigia,3
Candidatus_Heliomonas,1
Candidatus_Hemipteriphilus,2
Candidatus_Hemobacterium,1
Candidatus_Hepatoplasma,34
Candidatus_Hodgkinia,173
Candidatus_Hydrogenedens,3
Candidatus_Ishikawaella,7
Candidatus_Isobeggiatoa,7
Candidatus_Jettenia,16
Candidatus_Kinetoplastibacterium,23
Candidatus_Kleidoceria,1
Candidatus_Korarchaeum,62
Candidatus_Koribacter,90
Candidatus_Kryptobacter,1
Candidatus_Kryptonium,2
Candidatus_Kuenenia,15
Candidatus_Lariskella,6
Candidatus_Latescibacter,55
Candidatus_Liberibacter,42
Candidatus_Limnoluna,11
Candidatus_Lumbricincola,5
Candidatus_Magnetananas,14
Candidatus_Magnetobacterium,6
Candidatus_Magnetoglobus,14
Candidatus_Magnetomorum,1
Candidatus_Magnetoovum,5
Candidatus_Maribeggiatoa,2
Candidatus_Marispirochaeta,35
Candidatus_Marithioploca,4
Candidatus_Marithrix,5
Candidatus_Megaira,26
Candidatus_Mesochlamydia,1
Candidatus_Metachlamydia,1
Candidatus_Methanofastidiosum,60
Candidatus_Methanogranum,7
Candidatus_Methanomethylicus,28
Candidatus_Methanomethylophilus,72
Candidatus_Methanoperedens,87
Candidatus_Methanoplasma,29
Candidatus_Methylacidiphilum,14
Candidatus_Methylomirabilis,25
Candidatus_Methylopumilus,34
Candidatus_Methylospira,6
Candidatus_Microthrix,35
Candidatus_Midichloria,7
Candidatus_Moduliflexus,3
Candidatus_Moranella,4
Candidatus_Nanobsidianus,11
Candidatus_Nanopusillus,7
Candidatus_Nanosalinarum,6
Candidatus_Nasuia,12
Candidatus_Navis,3
Candidatus_Neoehrlichia,4
Candidatus_Nitrocosmicus,52
Candidatus_Nitrosocaldus,18
Candidatus_Nitrosoglobus,4
Candidatus_Nitrosopelagicus,51
Candidatus_Nitrosopumilus,717
Candidatus_Nitrososphaera,233
Candidatus_Nitrosotalea,17
Candidatus_Nitrosotenuis,34
Candidatus_Nitrotoga,47
Candidatus_Nostocoida,13
Candidatus_Nucleicultrix,6
Candidatus_Obscuribacter,13
Candidatus_Odyssella,2
Candidatus_Omnitrophus,426
Candidatus_Ovatusbacter,37
Candidatus_Paceibacter,11
Candidatus_Paenicardinium,6
Candidatus_Parabeggiatoa,4
Candidatus_Paracaedibacter,35
Candidatus_Paraholospora,2
Candidatus_Phaeomarinobacter,1
Candidatus_Photodesmus,3
Candidatus_Phytoplasma,475
Candidatus_Piscichlamydia,3
Candidatus_Planktoluna,17
Candidatus_Planktophila,21
Candidatus_Portiera,41
Candidatus_Profftella,4
Candidatus_Protochlamydia,24
Candidatus_Puchtella,4
Candidatus_Puniceispirillum,16
Candidatus_Purcelliella,9
Candidatus_Regiella,11
Candidatus_Renichlamydia,2
Candidatus_Rhabdochlamydia,6
Candidatus_Riegeria,26
Candidatus_Riesia,11
Candidatus_Rosenkranzia,8
Candidatus_Rubidus,1
Candidatus_Ruthia,4
Candidatus_Saccharimonas,110
Candidatus_Scalindua,54
Candidatus_Schmidhempelia,4
Candidatus_Schneideria,5
Candidatus_Similichlamydia,11
Candidatus_Soleaferrea,146
Candidatus_Solibacter,552
Candidatus_Stammerula,8
Candidatus_Stoquefichus,40
Candidatus_Sulcia,117
Candidatus_Symbiobacter,48
Candidatus_Symbiothrix,75
Candidatus_Syntrophoarchaeum,4
Candidatus_Tammella,25
Candidatus_Tenderia,33
Candidatus_Thermokryptus,1
Candidatus_Thiobios,33
Candidatus_Thiodiazotropha,18
Candidatus_Thioglobus,3
Candidatus_Thiophysa,1
Candidatus_Thiopilula,5
Candidatus_Thiosymbion,38
Candidatus_Tokpelaia,2
Candidatus_Tremblaya,44
Candidatus_Trichorickettsia,3
Candidatus_Turbabacter,2
Candidatus_Udaeobacter,397
Candidatus_Uzinura,74
Candidatus_Vesicomyosocius,7
Candidatus_Vestibaculum,34
Candidatus_Vidania,13
Candidatus_Westeberhardia,1
Candidatus_Xenohaliotis,5
Candidatus_Xenolissoclinum,1
Candidatus_Xiphinematobacter,66
Candidatus_Zinderia,21
Candidimonas,22
Capnocytophaga,533
Caproiciproducens,111
Carboxydocella,16
Carboxydothermus,14
Carboxylicivirga,51
Cardiobacterium,113
Carnimonas,14
Carnobacterium,111
Caryophanon,9
Castellaniella,84
Catabacter,3
Catalinimonas,12
Catellatospora,16
Catellicoccus,7
Catelliglobosispora,2
Catenibacillus,8
Catenibacterium,130
Catenisphaera,21
Catenococcus,12
Catenovulum,12
Catenulispora,12
Catenuloplanes,19
Catonella,51
Caulobacter,189
Cavicella,14
Caviibacter,3
Caviibacterium,4
Cecembia,6
Cedecea,44
Celeribacter,39
Celerinatantimonas,3
Cellulomonas,158
Cellulophaga,82
Cellulosibacter,2
Cellulosilyticum,51
Cellulosimicrobium,86
Cellvibrio,107
CENA359,13
CENA384,2
CENA518,3
CENA533,2
Cenarchaeum,27
Centipeda,13
Cephalothrix_SAG_75.79,14
Cephaloticoccus,32
Cerasibacillus,8
Cerasicoccus,56
Cereibacter,11
Cesiribacter,15
Cetobacterium,136
Chalicogloea_CCALA_975,11
Chamaesiphon_PCC-6605,6
Chamaesiphon_PCC-7430,19
Changchengzhania,4
Chania,7
Chelativorans,21
Chelatococcus,23
Chelonobacter,4
Chiayiivirga,6
Chishuiella,4
Chitinibacter,7
Chitinilyticum,2
Chitinimonas,25
Chitiniphilus,8
Chitinivibrio,2
Chitinivorax,9
Chitinophaga,185
CHKCI001,5
CHKCI002,2
Chlamydia,387
Chloracidobacterium,13
Chlorobaculum,41
Chlorobium,76
Chloroflexus,48
Chlorogloea_SAG_10.99,3
Chlorogloeopsis_PCC-7518,8
Chloroherpeton,4
Chloronema,7
Chondromyces,9
Christensenella,8
Christensenellaceae_R-7_group,2301
Chromatium,12
Chromatocurvus,2
Chromobacterium,130
Chromohalobacter,69
Chroococcidiopsis_CC1,8
Chroococcidiopsis_PCC_7203,21
Chroococcidiopsis_PCC-6712,6
Chroococcidiopsis_SAG_2023,29
Chroococcopsis,1
Chroococcus_HUW_799,2
Chryseobacterium,805
Chryseoglobus,11
Chryseolinea,66
Chryseomicrobium,27
Chrysiogenes,1
Chthoniobacter,274
Chthonobacter,18
Chthonomonas,35
Chujaibacter,40
Chungangia,6
CI75cm.2.12,12
Ciceribacter,14
Citreicella,12
Citreimonas,3
Citreitalea,9
Citricoccus,34
Citrifermentans,130
Citrobacter,802
CK06-06-Mud-MAS4B-21,5
CL500-29_marine_group,256
CL500-3,47
Clade_Ia,465
Clade_Ib,238
Clavibacter,59
Cloacibacillus,26
Cloacibacterium,227
Clostridioides,795
Clostridium,1
Clostridium_sensu_stricto_1,1941
Clostridium_sensu_stricto_10,35
Clostridium_sensu_stricto_11,83
Clostridium_sensu_stricto_12,296
Clostridium_sensu_stricto_13,174
Clostridium_sensu_stricto_14,12
Clostridium_sensu_stricto_15,27
Clostridium_sensu_stricto_16,10
Clostridium_sensu_stricto_17,2
Clostridium_sensu_stricto_18,436
Clostridium_sensu_stricto_19,4
Clostridium_sensu_stricto_2,11
Clostridium_sensu_stricto_3,32
Clostridium_sensu_stricto_4,4
Clostridium_sensu_stricto_5,22
Clostridium_sensu_stricto_6,31
Clostridium_sensu_stricto_7,85
Clostridium_sensu_stricto_8,50
Clostridium_sensu_stricto_9,29
Cm1-21,19
CM1G08,7
Cnuella,32
Cnuibacter,6
Cobetia,85
Cocleimonas,73
Coenonia,5
Coetzeea,1
Cognatishimia,26
Cognatiyoonia,8
Cohaesibacter,51
Cohnella,162
Coleofasciculus_PCC-7420,291
Colidextribacter,386
Collimonas,45
Collinsella,339
Colwellia,413
Comamonas,502
Commensalibacter,20
Companilactobacillus,95
Compostimonas,1
Conchiformibius,42
Conexibacter,110
Confluentibacter,9
Confluentimicrobium,6
Congregibacter,9
Conservatibacter,2
Constrictibacter,22
Conyzicola,11
Coprobacillus,10
Coprobacter,26
Coprococcus,372
Coprothermobacter,100
Coraliomargarita,35
Corallibacter,3
Corallococcus,70
Corallomonas,2
Coriobacteriaceae_UCG-002,17
Coriobacteriaceae_UCG-003,9
Coriobacterium,9
Corticibacter,6
Corticibacterium,3
Corticicoccus,2
Corynebacterium,3609
Cosenzaea,3
Costertonia,6
Couchioplanes,5
Coxiella,387
CPla-4_termite_group,10
cr616,5
Crassaminicella,10
Craurococcus-Caldovatus,35
Crenalkalicoccus,1
Crenobacter,17
Crenotalea,1
Crenothrix,64
Criblamydia,1
Cribrihabitans,9
Cricetibacter,2
Criibacterium,1
Crinalium_SAG_22.89,13
Croceibacter,5
Croceicoccus,12
Croceitalea,17
Crocinitomix,84
Crocosphaera,1
Cronobacter,239
Crossiella,142
Cruoricaptor,2
Cryobacterium,62
Cryocola,2
Cryomorpha,50
Cryptanaerobacter,34
Cryptobacterium,5
Cryptosporangium,15
Cucumibacter,4
Cuneatibacter,1
Cuniculiplasma,12
Cupriavidus,370
Curtobacterium,148
Curvibacter,88
Cuspidothrix_LMECYA_163,10
Cutibacterium,1693
Cyanobacterium_PCC-10605,9
Cyanobacterium_PCC-7202,13
Cyanobium_PCC-6307,209
Cyanothece_ATCC_51142_(UCYN-C),4
Cyanothece_PCC_7425,10
Cyanothece_PCC-7424,10
Cyanothece_PCC-8801,6
Cyclobacterium,39
Cycloclasticus,29
Cylindrospermopsis_CRJ1,19
Cylindrospermum_CENA33,2
Cylindrospermum_NQAIF308,2
Cylindrospermum_PCC-7417,12
Cylindrospermum_PMC238.04,2
Cylindrospermum_SAG_11.82,2
Cystobacter,24
Cytophaga,53
Dactylococcopsis_PCC-8305,86
Dactylosporangium,41
Daeguia,1
Dapisostemonum_CCIBt_3536,10
Dasania,7
DBS1,10
Dechlorobacter,27
Dechloromonas,181
Dechlorosoma,23
Deefgea,14
Deferribacter,11
Deferrisoma,26
Defluviicoccus,75
Defluviimonas,54
Defluviitalea,33
Defluviitaleaceae_UCG-011,105
Defluviitoga,36
Dehalobacter,33
Dehalobacterium,13
Dehalobium,7
Dehalococcoides,38
Dehalogenimonas,13
Deinobacterium,2
Deinococcus,339
Delftia,285
Dellaglioa,2
Demequina,41
Demetria,4
Dendrosporobacter,7
Denitratisoma,65
Denitrobacterium,6
Denitromonas,16
Denitrovibrio,5
Dermabacter,23
Dermacoccus,21
Dermatophilus,8
Derxia,6
Desemzia,27
Desertibacter,3
Desertifilum_KR2012-2,3
Desmonostoc_PCC-6302,3
Desmonostoc_PCC-7422,40
Desmospora,2
Desulfacinum,4
Desulfallas-Sporotomaculum,68
Desulfarculus,4
Desulfatibacillum,15
Desulfatiglans,447
Desulfatirhabdium,34
Desulfatitalea,22
Desulfitibacter,41
Desulfitispora,4
Desulfitobacterium,94
Desulfobacca,74
Desulfobacter,87
Desulfobacterium,42
Desulfobacula,20
Desulfobaculum,1
Desulfobotulus,10
Desulfobulbus,212
Desulfocapsa,215
Desulfocarbo,13
Desulfocella,15
Desulfococcus,12
Desulfoconvexum,30
Desulfocurvus,10
Desulfofaba,11
Desulfofarcimen,253
Desulfofrigus,12
Desulfofundulus,39
Desulfofustis,35
Desulfoglaeba,1
Desulfohalobium,4
Desulfohalotomaculum,42
Desulfoluna,3
Desulfomicrobium,96
Desulfomonile,61
Desulfonatronobacter,10
Desulfonatronospira,10
Desulfonatronovibrio,9
Desulfonatronum,19
Desulfonauticus,4
Desulfonema,234
Desulfonispora,2
Desulfopila,54
Desulfoplanes,25
Desulfoprunum,13
Desulforegula,4
Desulforhabdus,11
Desulforhopalus,113
Desulfosalsimonas,10
Desulfosarcina,45
Desulfosoma,2
Desulfospira,2
Desulfosporosinus,317
Desulfotalea,26
Desulfothermobacter,2
Desulfothermus,3
Desulfotignum,46
Desulfotomaculum,73
Desulfovermiculus,131
Desulfovibrio,665
Desulfovirga,12
Desulfovirgula,1
Desulfurella,18
Desulfuribacillus,11
Desulfurispira,2
Desulfurispirillum,7
Desulfurispora,52
Desulfurivibrio,44
Desulfurobacterium,19
Desulfurococcus,9
Desulfuromonas,104
Desulfuromusa,63
Dethiobacter,61
Dethiosulfatarculus,1
Dethiosulfatibacter,37
Dethiosulfovibrio,17
DEV008,24
