"","taxon_id","treatment_1","treatment_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"757","bdd","TRUE","FALSE",0,NA,NA,NA,NA,NA
"758","bde","TRUE","FALSE",0.0142456545419605,0.382484984793156,2.90382152181496,0.131717800808258,0.895207505186759,NA
"759","bdf","TRUE","FALSE",0.00300841050455052,0.471910596098087,2.9038377287045,0.162512729769037,0.870902104621348,NA
"760","bdg","TRUE","FALSE",0.0594802321810226,0.61840047078443,2.90373219676209,0.21296746011013,0.831352343516691,NA
"761","bdh","TRUE","FALSE",1.16818594346718,-2.40459369209756,1.14183913518792,-2.10589532097429,0.0352134462106361,0.215401399692721
"762","bdi","TRUE","FALSE",0,NA,NA,NA,NA,NA
"763","bdj","TRUE","FALSE",0.313501489621369,-0.0360808762235665,1.73635010624094,-0.0207797241431216,0.983421372037171,NA
"764","bdk","TRUE","FALSE",297.439390283603,-0.0359971288910601,0.18878999753656,-0.190672860642891,0.848781902636931,0.994186402037355
"765","bdl","TRUE","FALSE",0.25236700133443,-0.575322920999594,2.90309232517912,-0.198175895409767,0.842907446135977,NA
"766","bdm","TRUE","FALSE",0.258776138883502,0.158404995271099,1.19319364879747,0.132757155915759,0.894385438977259,NA
"767","bdn","TRUE","FALSE",0.0233088880744464,0.642314894950778,2.90381938296151,0.221196572596641,0.824939377840871,NA
"768","bdo","TRUE","FALSE",0.0245622255691826,0.799305318845997,2.90376667215158,0.275264995122264,0.783112655849927,NA
"769","bdp","TRUE","FALSE",42.8945382017853,-0.51229493560648,0.293746122842182,-1.74400577835615,0.081158082254315,0.345915425388277
"770","bdq","TRUE","FALSE",0.121763669726259,-0.44337017044576,2.90326207720335,-0.152714484140836,0.878623438057975,NA
"771","bdr","TRUE","FALSE",0.204985106446219,1.82445186809719,2.90252738311077,0.62857352482299,0.529628297548962,NA
"772","bds","TRUE","FALSE",0,NA,NA,NA,NA,NA
"773","bdt","TRUE","FALSE",0.766496103725468,-1.4403329919227,0.842911876511751,-1.70875868766172,0.0874956581048974,0.34937502368275
"774","bdu","TRUE","FALSE",0,NA,NA,NA,NA,NA
"775","bdv","TRUE","FALSE",0.026180022506013,0.759331785338629,2.90378385281655,0.261497350982962,0.793708992083398,NA
