"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"79","S18",1,"C03","Control",TRUE,0,1,"Sample",FALSE,0,0.121444974386151,0,NA,0.121444974386151,FALSE,FALSE,FALSE,69629,118,2.35918066144249,4.55722057901231
"80","S2",1,"B01","Cin",FALSE,1,1,"Sample",FALSE,0,0.21402260891655,0,0,0.21402260891655,FALSE,FALSE,FALSE,37128,105,2.75998812520079,8.79521882133734
"81","S20",1,"E03","Plu",FALSE,100,1,"Sample",FALSE,0,0,0.0254725399529488,0.0254725399529488,0,TRUE,TRUE,TRUE,36039,99,2.05028810814713,3.60885433143828
"82","S21",1,"F03","Cry",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,41086,142,2.95662834840663,9.22272512715822
"83","S22",1,"G03","Cry",TRUE,100,1,"Sample",FALSE,0,0.175845875368666,0,0.175845875368666,0,TRUE,TRUE,TRUE,65109,88,2.15001550149598,5.1828766323339
"84","S23",1,"H03","Plu",TRUE,100,1,"Sample",FALSE,0,0,0.00155299840957994,0.00155299840957994,0,TRUE,TRUE,TRUE,53362,58,1.74412366809075,2.96536969265573
"85","S24",1,"A04","Cin",FALSE,100,1,"Sample",FALSE,0.330634955707772,0,0,0.330634955707772,0,TRUE,TRUE,TRUE,33323,139,2.77474716679278,4.96637346167227
"86","S25",1,"B04","Control",FALSE,0,1,"Sample",FALSE,0.000361516561977496,0,0,NA,0.000361516561977496,FALSE,FALSE,FALSE,44242,106,1.8192391095168,2.51861657669929
"87","S26",1,"C04","Control",FALSE,0,1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,86935,102,1.84572293680318,2.86447752633433
"88","S27",1,"D04","Cin",FALSE,100,1,"Sample",FALSE,0.249174361393813,0,0,0.249174361393813,0,TRUE,TRUE,TRUE,77980,110,2.52847006915325,5.21602332877277
"89","S28",1,"E04","Cin",FALSE,100,1,"Sample",FALSE,0.183931900524113,0,0,0.183931900524113,0,TRUE,TRUE,TRUE,69600,142,3.24239944537645,12.6588878366761
"90","S29",1,"F04","Cin",FALSE,100,1,"Sample",FALSE,0.541923551171393,0,0,0.541923551171393,0,TRUE,TRUE,TRUE,40865,129,3.02459266774943,9.62224751613714
"91","S3",1,"C01","Plu",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,65271,72,1.48529580283078,2.18681567364669
"92","S31",1,"H04","Plu",FALSE,100,1,"Sample",FALSE,0.000281968137600451,0,0,0,0.000281968137600451,FALSE,FALSE,FALSE,56728,99,2.363015014603,6.65195221616634
"93","S32",1,"A05","Cry",FALSE,100,1,"Sample",FALSE,0,0.0703178991015895,0,0.0703178991015895,0,TRUE,TRUE,TRUE,43048,125,2.31210619675859,4.72284755581943
"94","S33",1,"B05","Control",FALSE,0,1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,62948,111,1.88190073940366,3.51457752515009
"95","S34",1,"C05","Plu",FALSE,100,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,68220,143,2.76273970566906,6.6765842111908
"96","S35",1,"E05","Control",TRUE,0,1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,71903,93,1.19141310052983,1.63325270600045
"97","S36",1,"F05","Plu",TRUE,100,1,"Sample",FALSE,0,0.0183459671237544,0,0,0.0183459671237544,FALSE,FALSE,FALSE,57628,134,2.50637984541634,5.68943400411607
"98","S37",1,"G05","Cry",TRUE,100,1,"Sample",FALSE,0,0.0128762782658793,0,0.0128762782658793,0,TRUE,TRUE,TRUE,68536,94,1.76245545217103,3.18533218833485
"99","S38",1,"H05","Cry",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,59064,122,2.24470937551578,3.22813307763463
"100","S39",1,"A06","Cin",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,75151,76,1.23718093522511,1.92668861696741
"101","S4",1,"D01","Plu",TRUE,1,1,"Sample",FALSE,0.000449874934768134,0.0122006082309118,0,0,0.0126504831656799,FALSE,FALSE,FALSE,54868,109,2.04975643725919,3.11219142846275
"102","S40",1,"B06","Cry",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,64214,113,2.40276467913111,5.52499399610942
"103","S41",1,"C06","Cry",FALSE,100,1,"Sample",FALSE,0,0.131942396829703,0,0.131942396829703,0,TRUE,TRUE,TRUE,73600,138,2.32815702647517,5.39967972894424
"104","S42",1,"D06","Plu",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,87706,91,1.34810270039264,1.93978974761066
