"sample_name","richness_sf","richness_demulticoder","richness_diff","shannon_sf","shannon_demulticoder","shannon_diff","invsimpson_sf","invsimpson_demulticoder","invsimpson_diff"
"S29",129,129,0,3.02459266774943,3.025754403196,0.00116173544657006,9.62224751613714,9.62795953668413,0.00571202054699071
"S3",72,72,0,1.48529580283078,1.48588751484542,0.000591712014639922,2.18681567364669,2.18765538753621,0.000839713889519977
"S31",99,100,1,2.363015014603,2.36294304128417,7.19733188301319e-05,6.65195221616634,6.64937629330935,0.00257592285698927
"S32",125,125,0,2.31210619675859,2.31453799255453,0.00243179579594033,4.72284755581943,4.73555185707846,0.0127043012590295
"S33",111,111,0,1.88190073940366,1.88206820995324,0.000167470549579996,3.51457752515009,3.51582952856818,0.00125200341808984
"S34",143,143,0,2.76273970566906,2.76399772885055,0.00125802318149004,6.6765842111908,6.68646866621499,0.00988445502419033
"S35",93,93,0,1.19141310052983,1.19260013416593,0.00118703363609995,1.63325270600045,1.63433261134472,0.00107990534427005
"S36",134,134,0,2.50637984541634,2.50818223792442,0.0018023925080799,5.68943400411607,5.69435405130449,0.00492004718842054
"S37",94,95,1,1.76245545217103,1.76320814582907,0.000752693658039982,3.18533218833485,3.18527947725696,5.27110778900663e-05
"S38",122,122,0,2.24470937551578,2.24618739783243,0.00147802231664995,3.22813307763463,3.23246259788413,0.00432952024950017
"S39",76,76,0,1.23718093522511,1.23747259193339,0.000291656708280019,1.92668861696741,1.92684259409065,0.000153977123239946
"S4",109,110,1,2.04975643725919,2.05188484231329,0.00212840505409995,3.11219142846275,3.11830254345077,0.00611111498802019
"S40",113,112,1,2.40276467913111,2.40376310305779,0.000998423926680037,5.52499399610942,5.53071955673263,0.00572556062321006
"S41",138,138,0,2.32815702647517,2.33053672669759,0.00237970022241996,5.39967972894424,5.40805712851814,0.0083773995738996
"S42",91,92,1,1.34810270039264,1.35038045625849,0.00227775586585,1.93978974761066,1.94085536271402,0.0010656151033599
"S43",149,149,0,2.99404657127524,2.99562703233269,0.00158046105745013,9.32261523529715,9.33980385602934,0.0171886207321901
"S45",62,62,0,1.53586589273701,1.53722469555315,0.00135880281613998,2.12549208405927,2.12781399639153,0.00232191233225976
"S46",140,140,0,2.70810536159313,2.70933970004498,0.00123433845185028,7.66538351151575,7.67262660240462,0.00724309088886965
"S47",84,84,0,1.1328584292418,1.13392106115507,0.00106263191327005,1.64340117570347,1.64400782674833,0.000606651044859907
"S48",64,64,0,2.69427814586362,2.69443281713011,0.000154671266490158,8.72676059614766,8.72197315544508,0.00478744070258053
"S49",117,117,0,2.8955464551217,2.89656714064357,0.00102068552186996,8.79575085770376,8.80397282001187,0.00822196230810945
"S5",115,115,0,1.89796879810615,1.90023751359255,0.00226871548640006,3.30078274214807,3.30671510101307,0.00593235886499999
"S50",98,98,0,1.73060791482407,1.73136563076075,0.000757715936679837,3.16081585247551,3.16278973360229,0.00197388112677999
"S51",94,94,0,1.88324906573801,1.88353431964018,0.000285253902169824,3.7042876164567,3.70477385943631,0.000486242979610196
"S52",88,88,0,2.30310148736475,2.30113294216111,0.0019685452036402,6.32334552223155,6.31318806763262,0.0101574545989305
"S53",151,150,1,2.8868606785499,2.88564342173374,0.00121725681615992,10.4437027576378,10.4511841136174,0.00748135597959987
"S54",106,105,1,2.07685416146893,2.07698612666431,0.000131965195379724,3.80619876635601,3.81122849215942,0.00502972580341021
"S55",95,97,2,1.513724862294,1.51292507805352,0.000799784240480106,1.97992843109041,1.97212312100446,0.00780531008594987
"S56",83,83,0,1.09239658134196,1.09343277454747,0.00103619320550985,1.71588077292945,1.71686698045539,0.00098620752593992
"S57",88,88,0,1.73663255225928,1.73820094102588,0.00156838876660004,2.6073478415438,2.61019120461792,0.00284336307412003
"S58",112,112,0,2.30069076527115,2.30272258422986,0.0020318189587103,4.36762642348854,4.39747548744441,0.0298490639558704
"S59",117,117,0,1.85085460203135,1.85217880986303,0.00132420783167997,3.11103274698017,3.11309145980219,0.00205871282201997
"S6",118,119,1,1.95468826305073,1.95866265188169,0.00397438883096002,3.41501362137867,3.42071375186673,0.00570013048805995
"S60",74,75,1,2.32256362348291,2.32487478351386,0.00231116003095,4.56976289976153,4.5769820384246,0.00721913866306956
"S61",81,81,0,2.62512937670945,2.62682414013655,0.00169476342709984,7.43481784892279,7.44849902789406,0.0136811789712707
"S62",99,98,1,1.38823181515376,1.38816756023729,6.42549164699968e-05,1.92934422291789,1.92959638781207,0.000252164894180007
"S63",98,98,0,1.18310568523286,1.1793420306326,0.00376365460026018,1.72378275376039,1.71758024833436,0.00620250542602996
"S64",97,97,0,1.54527332667354,1.54627380929812,0.00100048262458019,1.9646108439955,1.96551856713708,0.000907723141580163
"S65",65,65,0,1.4790876411377,1.47961128992118,0.00052364878347988,2.99975805904531,3.00041458483752,0.000656525792209983
"S66",113,114,1,1.85479462984414,1.85781546460606,0.00302083476192005,3.19158334157096,3.21616034778874,0.0245770062177799
"S68",110,111,1,2.01775039108233,2.02125695803959,0.00350656695726004,3.82274665445871,3.82790511245837,0.00515845799966019
"S69",131,131,0,2.37088818811872,2.37352950112342,0.00264131300470005,3.50213590760651,3.51233460026854,0.0101986926620299
"S7",127,127,0,2.09863322315233,2.10086244691511,0.00222922376278012,3.91345840542486,3.92080284411765,0.00734443869279033
"S70",144,144,0,2.55344476618138,2.55356537162584,0.000120605444460242,5.24241576106458,5.24003955644654,0.00237620461803978
"S72",129,131,2,2.14397051655983,2.14454965659718,0.000579140037350268,4.75713123775323,4.74434543488986,0.0127858028633696
"S73",85,85,0,2.44323084320638,2.44389387823947,0.000663035033090065,7.34195467377344,7.3450095189209,0.00305484514746013
"S74",85,85,0,1.09161215887401,1.08609300961391,0.00551914926009989,1.61920968813711,1.60842160870619,0.0107880794309201
"S76",137,137,0,2.44032732599682,2.44228448988156,0.00195716388473999,5.01996029399689,5.02706317575618,0.00710288175929019
"S77",231,230,1,3.63042310791778,3.62744292562572,0.0029801822920601,16.2897079361593,16.2599184130388,0.029789523120499
"S78",126,127,1,2.32718645305086,2.32957720423959,0.00239075118873,6.1672521355871,6.17105939960674,0.00380726401964004
"S79",164,164,0,2.09534500110699,2.09839685840264,0.00305185729564972,2.83278501657074,2.83782309192015,0.0050380753494097
"S8",71,71,0,2.50320401029845,2.50634343758511,0.00313942728666028,4.55818726824874,4.57357290228561,0.0153856340368703
"S80",146,146,0,1.67133035202924,1.67014143163221,0.00118892039702989,2.16419687350858,2.16105888019466,0.00313799331392017
"S81",97,96,1,2.59361193556896,2.59255951558487,0.00105241998409022,6.48559406756313,6.48213732167171,0.00345674589141964
"S82",154,153,1,2.9822774963475,2.97972237783458,0.00255511851292001,10.5252267367047,10.5346315142434,0.00940477753870006
"S83",153,154,1,3.02542292145476,3.02995797793793,0.00453505648317032,10.8418749543365,10.8621902074952,0.0203152531586994
"S84",56,56,0,2.24549155708435,2.24595672682776,0.00046516974340971,4.86992637854915,4.87070860193368,0.000782223384530489
"S85",168,168,0,2.737981367223,2.73871421826329,0.000732851040289972,6.58394510047717,6.58678441918139,0.00283931870422016
"S86",130,131,1,1.93133008454078,1.93546586600386,0.00413578146308002,3.14566834951258,3.14930969257212,0.00364134305953989
"S87",133,133,0,1.83846993811232,1.8403156946485,0.00184575653618002,2.60510611403152,2.60814506307577,0.00303894904424995
"S88",92,92,0,2.40022714960927,2.40145522279554,0.00122807318627016,5.72109198789722,5.72522090797328,0.00412892007605947
"S89",119,119,0,2.41757181224352,2.41851844327152,0.000946631027999967,7.005522201659,7.01097283727001,0.00545063561101067
"S9",70,70,0,1.78441355492061,1.78588554566946,0.00147199074885007,2.9330624024254,2.95904800927662,0.0259856068512199
"S90",136,136,0,2.35110879068975,2.35197196259346,0.00086317190370977,5.67529510721907,5.67849525600997,0.00320014879090014
"S91",111,111,0,2.20164752848865,2.20222424208839,0.000576713599739875,4.07238880274837,4.06871974685664,0.00366905589172983
"S92",91,92,1,2.25585743364917,2.25630716209612,0.000449728446950015,6.44364498194509,6.44183446360277,0.00181051834232004
"S93",94,94,0,3.08242614419455,3.08563053408946,0.0032043898949099,12.354024568042,12.3949540809214,0.0409295128793996
"S94",112,112,0,2.25460439755967,2.25564399734759,0.00103959978791979,4.19519305812383,4.19674453876086,0.00155148063702981
"S95",110,110,0,1.37962276954169,1.38141842106166,0.00179565151996997,2.04325513396193,2.04563008432958,0.00237495036765001
"S96",90,91,1,1.89336239553658,1.8949379560764,0.00157556053982,3.77977551417213,3.7814937161579,0.00171820198576977
"S97",67,67,0,2.74305961119162,2.74420584130203,0.00114623011040971,8.42667090084562,8.43542531405246,0.00875441320684089
"S98",81,80,1,2.06213536504903,2.06257798773103,0.000442622681999794,3.71652207380197,3.728781246768,0.0122591729660297
"S99",120,120,0,2.97527542148705,2.97566993779395,0.000394516306899906,10.6266571357728,10.6278623200276,0.00120518425479865
